product_code,class_code,field,review_status,canonical_action,parser_value,reference_value,reviewed_value,value_used,source_page,validation_status_after_review,note
KR510902511M,C-P,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.02,1.57,,1.57,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR510902511M,C-P2,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.02,1.41,,1.41,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5110501016,C-P,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.01,0.34,,0.34,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5110601022,C-P,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.0125,0.4825,,0.4825,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5114420027,CYE,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,0.2641,,,0.2641,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5114420027,CYE,account_type,PARSER_CORRECT,RESTORED_TO_CANONICAL,연금저축,퇴직연금/IRP,,연금저축,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5114450270,SP,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,0.3741,,,0.3741,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5114450270,SP,channel,PARSER_CORRECT,RESTORED_TO_CANONICAL,온라인슈퍼,오프라인,,온라인슈퍼,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5117420097,C-PE,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,0.2137,,,0.2137,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5117420097,C-PE,account_type,PARSER_CORRECT,RESTORED_TO_CANONICAL,연금저축,퇴직연금/IRP,,연금저축,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5119450058,C-PE,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,1.1117,,,1.1117,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5119450058,C-PE,channel,PARSER_CORRECT,RESTORED_TO_CANONICAL,온라인,온라인슈퍼,,온라인,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5119450058,C-PE,account_type,PARSER_CORRECT,RESTORED_TO_CANONICAL,연금저축,퇴직연금/IRP,,연금저축,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5119520012,C-PE,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,0.4,,,0.4,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
